CourseID,CourseCategory,Title,Price,Length,CourseImage
1,Beauty & Spa,est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo,57,8,http://dummyimage.com/413x269.png/ff4444/ffffff
2,F&B,vestibulum ante ipsum primis in faucibus orci luctus,63,2,http://dummyimage.com/413x269.png/5fa2dd/ffffff
3,Tourism & Hospitality,urna ut tellus nulla ut erat id,81,7,http://dummyimage.com/413x269.png/cc0000/ffffff
4,Beauty & Spa,id consequat in consequat ut nulla sed accumsan,29,7,http://dummyimage.com/413x269.png/dddddd/000000
5,Beauty & Spa,ac consequat metus sapien ut,59,9,http://dummyimage.com/413x269.png/ff4444/ffffff
6,Beauty & Spa,et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec,44,5,http://dummyimage.com/413x269.png/cc0000/ffffff
7,F&B,sed lacus morbi sem mauris laoreet,22,11,http://dummyimage.com/413x269.png/ff4444/ffffff
8,Beauty & Spa,feugiat et eros vestibulum ac est lacinia,23,8,http://dummyimage.com/413x269.png/dddddd/000000
9,Beauty & Spa,adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus,66,9,http://dummyimage.com/413x269.png/cc0000/ffffff
10,Tourism & Hospitality,odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce,68,6,http://dummyimage.com/413x269.png/5fa2dd/ffffff
11,F&B,est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla,42,5,http://dummyimage.com/413x269.png/5fa2dd/ffffff
12,Tourism & Hospitality,luctus rutrum nulla tellus in sagittis dui,78,9,http://dummyimage.com/413x269.png/ff4444/ffffff
13,Tourism & Hospitality,vulputate elementum nullam varius nulla facilisi cras non velit,35,7,http://dummyimage.com/413x269.png/dddddd/000000
14,F&B,in purus eu magna vulputate luctus cum sociis natoque penatibus,93,6,http://dummyimage.com/413x269.png/dddddd/000000
15,Tourism & Hospitality,viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus,60,6,http://dummyimage.com/413x269.png/ff4444/ffffff
16,Beauty & Spa,est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi,74,7,http://dummyimage.com/413x269.png/ff4444/ffffff
17,Beauty & Spa,accumsan odio curabitur convallis duis,75,9,http://dummyimage.com/413x269.png/5fa2dd/ffffff
18,Tourism & Hospitality,in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit,91,4,http://dummyimage.com/413x269.png/cc0000/ffffff
