JobID,RecruiterID,JobTitle,Salary,JobDescription,WorkLocation,ExperienceLevel,WorkingFormat,JobSpecialization,JobImage
1,964,Skin Care Specialist,1104,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,Claremont,Entry,Online,Beauty & Spa,http://dummyimage.com/413x269.png/cc0000/ffffff
2,52,Tourism Sales,766,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",Kropf,Internship,Remote,Tourism & Hospitality,http://dummyimage.com/413x269.png/dddddd/000000
3,192,Skin Care Specialist,708,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,Rockefeller,Junior,Remote,Beauty & Spa,http://dummyimage.com/413x269.png/ff4444/ffffff
4,344,Hair Stylist,356,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,Aberg,Junior,Online,Beauty & Spa,http://dummyimage.com/413x269.png/ff4444/ffffff
5,217,Bartender,874,Sed ante. Vivamus tortor. Duis mattis egestas metus.,Orin,Entry,Offline,F&B,http://dummyimage.com/413x269.png/cc0000/ffffff
6,225,Skin Care Specialist,1505,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",Saint Paul,Entry,Remote,Beauty & Spa,http://dummyimage.com/413x269.png/dddddd/000000
7,520,Tour Planner,828,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",Calypso,Entry,Offline,Tourism & Hospitality,http://dummyimage.com/413x269.png/5fa2dd/ffffff
8,766,Barista,359,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",Crowley,Junior,Hybrid,F&B,http://dummyimage.com/413x269.png/5fa2dd/ffffff
9,135,Tourism Sales,1324,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,Clemons,Internship,Offline,Tourism & Hospitality,http://dummyimage.com/413x269.png/5fa2dd/ffffff
10,422,Skin Care Specialist,1035,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,Thackeray,Senior,Offline,Beauty & Spa,http://dummyimage.com/413x269.png/dddddd/000000
11,945,Bartender,986,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,Anhalt,Internship,Hybrid,F&B,http://dummyimage.com/413x269.png/ff4444/ffffff
12,763,Massage Therapist,776,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",Rutledge,Internship,Hybrid,Beauty & Spa,http://dummyimage.com/413x269.png/ff4444/ffffff
13,621,Bartender,709,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,John Wall,Senior,Remote,F&B,http://dummyimage.com/413x269.png/ff4444/ffffff
